"","Date","Channel","Length","Cost","Impressions","Sales"
"1",2017-07-01 10:45:00,"11",15,1352,36400,3
"2",2017-07-01 10:56:00,"1",15,20584,637000,143
"3",2017-07-01 11:30:00,"7",15,3380,18200,6
"4",2017-07-01 11:38:00,"11",30,4326,72800,57
"5",2017-07-01 11:43:00,"5",15,879,36400,17
"6",2017-07-01 12:11:00,"7",15,6152,54600,18
"7",2017-07-01 12:19:00,"2",15,2704,36400,12
"8",2017-07-01 12:30:00,"14",15,1352,36400,3
"9",2017-07-01 12:30:00,"5",15,48807,1274000,132
"10",2017-07-01 12:37:00,"6",15,7943,127400,45
"11",2017-07-01 12:43:00,"7",30,2636,54600,15
"12",2017-07-01 12:53:00,"11",15,3346,72800,8
"13",2017-07-01 13:05:00,"1",15,3346,72800,2
"14",2017-07-01 13:16:00,"8",15,879,72800,15
"15",2017-07-01 13:25:00,"1",15,8754,109200,20
"16",2017-07-01 13:25:00,"14",30,7199,72800,15
"17",2017-07-01 13:27:00,"8",15,10681,327600,86
"18",2017-07-01 13:27:00,"8",15,2028,36400,17
"19",2017-07-01 13:30:00,"11",15,2028,18200,9
"20",2017-07-01 13:39:00,"7",15,9903,436800,63
"21",2017-07-01 13:53:00,"6",15,10106,200200,132
"22",2017-07-01 14:00:00,"12",15,2028,18200,9
"23",2017-07-01 14:37:00,"5",30,7639,364000,75
"24",2017-07-01 14:39:00,"14",15,2028,54600,57
"25",2017-07-01 14:42:00,"2",15,1352,54600,42
"26",2017-07-01 14:49:00,"7",15,9363,163800,72
"27",2017-07-01 15:15:00,"11",15,5408,72800,39
"28",2017-07-01 15:23:00,"1",15,9903,473200,87
"29",2017-07-01 15:53:00,"4",15,710,91000,33
"30",2017-07-01 16:21:00,"8",15,2636,36400,17
"31",2017-07-01 16:28:00,"4",30,2704,54600,62
"32",2017-07-01 16:49:00,"1",15,2704,36400,2
"33",2017-07-01 16:51:00,"10",15,879,54600,27
"34",2017-07-01 16:54:00,"4",15,4732,72800,84
"35",2017-07-01 17:09:00,"1",15,4022,54600,11
"36",2017-07-01 17:12:00,"2",15,2028,36400,11
"37",2017-07-01 17:12:00,"10",15,1758,36400,9
"38",2017-07-01 17:38:00,"9",15,2298,72800,12
"39",2017-07-01 17:40:00,"10",15,2636,18200,38
"40",2017-07-01 17:46:00,"13",15,4394,72800,11
"41",2017-07-01 17:50:00,"4",15,5408,91000,44
"42",2017-07-01 18:01:00,"10",15,879,36400,2
"43",2017-07-01 18:11:00,"11",15,6490,127400,62
"44",2017-07-01 18:16:00,"13",30,4394,72800,62
"45",2017-07-01 18:28:00,"10",15,4394,18200,27
"46",2017-07-01 18:48:00,"13",15,3515,109200,50
"47",2017-07-01 18:48:00,"4",15,4732,91000,68
"48",2017-07-01 18:52:00,"10",15,7909,18200,30
"49",2017-07-01 19:19:00,"13",15,5273,182000,78
"50",2017-07-01 19:19:00,"1",15,1352,36400,20
"51",2017-07-01 19:23:00,"10",15,4394,18200,32
"52",2017-07-01 19:25:00,"7",15,2873,18200,0
"53",2017-07-01 19:28:00,"7",15,36605,1510600,330
"54",2017-07-01 20:25:00,"11",15,1352,18200,0
"55",2017-07-01 20:37:00,"6",15,2028,54600,20
"56",2017-07-01 20:49:00,"1",15,2704,54600,20
"57",2017-07-01 21:12:00,"7",15,18252,91000,119
"58",2017-07-01 21:35:00,"5",15,3380,36400,11
"59",2017-07-01 21:41:00,"14",15,20855,145600,134
"60",2017-07-01 21:41:00,"12",15,33901,436800,216
"61",2017-07-01 21:46:00,"7",15,676,18200,21
"62",2017-07-01 22:14:00,"2",15,17677,163800,119
"63",2017-07-01 22:18:00,"5",15,676,18200,6
"64",2017-07-01 22:25:00,"5",15,3921,163800,117
"65",2017-07-01 22:41:00,"6",15,2603,145600,98
"66",2017-07-01 22:48:00,"7",15,15649,364000,87
"67",2017-07-01 22:48:00,"11",15,13047,182000,74
"68",2017-07-01 22:53:00,"2",15,2028,18200,3
"69",2017-07-01 23:05:00,"8",15,7605,54600,56
"70",2017-07-01 23:14:00,"7",15,29136,436800,236
"71",2017-07-01 23:18:00,"4",15,676,18200,2
"72",2017-07-01 23:21:00,"1",15,30961,327600,39
"73",2017-07-01 23:21:00,"2",15,20449,236600,26
"74",2017-07-01 23:39:00,"7",15,676,36400,20
"75",2017-07-01 23:55:00,"9",15,9701,109200,53
"76",2017-07-01 00:07:00,"16",15,10444,163800,15
"77",2017-07-01 00:20:00,"4",15,4732,54600,8
"78",2017-07-01 00:37:00,"15",15,2028,54600,3
"79",2017-07-01 01:17:00,"4",15,3380,36400,14
"80",2017-07-02 01:41:00,"15",30,1352,72800,0
"81",2017-07-02 01:45:00,"7",15,1352,36400,2
"82",2017-07-02 02:44:00,"15",30,1352,36400,5
"83",2017-07-02 02:46:00,"4",15,2028,18200,20
"84",2017-07-02 03:11:00,"4",15,1352,36400,3
"85",2017-07-02 07:43:00,"4",15,1352,18200,3
"86",2017-07-02 09:52:00,"4",15,2704,18200,8
"87",2017-07-02 10:13:00,"4",15,3380,36400,11
"88",2017-07-02 10:52:00,"11",15,11526,163800,51
"89",2017-07-02 11:21:00,"11",15,16596,182000,63
"90",2017-07-02 11:48:00,"11",15,10816,127400,56
"91",2017-07-02 12:16:00,"11",15,9363,145600,75
"92",2017-07-02 12:22:00,"1",15,676,36400,14
"93",2017-07-02 12:39:00,"8",15,777,54600,45
"94",2017-07-02 12:49:00,"11",15,12269,163800,93
"95",2017-07-02 13:14:00,"11",15,10816,145600,53
"96",2017-07-02 13:38:00,"8",15,5340,163800,32
"97",2017-07-02 14:15:00,"11",15,7943,145600,69
"98",2017-07-02 14:27:00,"8",15,4563,145600,14
"99",2017-07-02 14:45:00,"7",15,2028,36400,0
"100",2017-07-02 14:56:00,"1",15,1352,36400,0
"101",2017-07-02 15:01:00,"8",15,3042,145600,21
